Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Cv Dif Indonesia,Fullstack Developer,"Lengkong, Bandung, Jawa Barat, Indonesia",,,,https://glints.com/id/opportunities/jobs/fullstack-developer/cd08430b-212d-4496-8b0c-9a69a20b34b2?utm_referrer=explore
Wealth International Network,Internship Program - Product Specialist,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,,"Pria / Wanita Maximal 30 Tahun, Pendidikan minimal D3 / S1 Farmasi / Apoteker, Jujur, Bertanggung Jawab, Cepat Belajar dan Pekerja Keras, Kemampuan Microsoft Office dengan baik, Kemampuan analisa dengan baik, Memiliki kemampuan komunikasi yang baik",https://glints.com/id/opportunities/jobs/internship-program-product-specialist/9f781573-89cd-45f3-95f0-30e515652c63?utm_referrer=explore
Samadia Solution Group (PT Intermedia Kreasi Mandiri),Sales & Promotion,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",,,,https://glints.com/id/opportunities/jobs/sales-and-promotion/1f59f135-7853-4d3e-9a3a-afed9aaf4b49?utm_referrer=explore
Djoin,Accounting Intern (Bali Based),"Denpasar Barat, Denpasar, Bali, Indonesia",,,"Assist with data entry and maintain financial records., Financial Reporting: Help prepare financial statements and reports., Accounts Payable and Receivable: Process invoices and monitor payments., Bank Reconciliation: Reconcile bank statements and investigate discrepancies., Budgeting and Forecasting: Support budget creation and monitor performance., Assist with audits and ensure compliance., Financial Analysis: Analyze data for trends and prepare reports., Organize financial documents and provide general support., Gain skills in accounting software and Excel., Team Collaboration: Work closely with our accounting and cross-functional teams.",https://glints.com/id/opportunities/jobs/accounting-intern-bali-based/17d37464-8d52-4487-b33c-ffed15b3605f?utm_referrer=explore
PT Eka Akar Jati,Sales Force Pensiunan,"Makassar, Makassar, Sulawesi Selatan, Indonesia",,,,https://glints.com/id/opportunities/jobs/sales-force-pensiunan/ff97e824-619c-4519-8f24-8833e37f193c?utm_referrer=explore
Arca's Coffee & Eatery,Helper,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp2jt-Rp3jt,,"Kualifikasi: Umur Maks 24 Tahun, Berpenampilan rapih, Tertarik dengan dunia kopi, Tidak harus ada pengalaman (tapi yang ada pengalaman aka diprioritaskan), Bersedia bekerja di hari libur, Jujur dan ada niat untuk bekerja",https://glints.com/id/opportunities/jobs/helper/96f9e417-44a0-4e0c-ab93-2b72d65cd114?utm_referrer=explore
Arca's Coffee & Eatery,Barista,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp2jt-Rp3jt,"Barista And Waiters, Barista And Bartender, Barista","Umur Maks 24 Tahun, Berpenampilan rapih, Tertarik dengan dunia kopi, Tidak harus ada pengalaman (tapi yang ada pengalaman aka diprioritaskan), Bersedia bekerja di hari libur, Jujur dan ada niat untuk bekerja",https://glints.com/id/opportunities/jobs/barista/8b26383d-60da-4d08-98b5-1b64b3578aba?utm_referrer=explore
PT Eka Akar Jati,Sales Force Pensiunan,"Banda Raya, Banda Aceh, Nanggroe Aceh Darussalam, Indonesia","Rp2,5jt-Rp4jt","Marketing, Sales Banking, Sistem Perbankan, Sales",,https://glints.com/id/opportunities/jobs/sales-force-pensiunan/58248843-c3cf-4074-b417-608276a6c604?utm_referrer=explore
PT ARTA BETHESDA ABADI,Barista,"Sambikerep, Surabaya, Jawa Timur, Indonesia",,"Aktif Dan Inisiatif, Mampu bekerja sama secara tim, Kemampuan Berhitung",,https://glints.com/id/opportunities/jobs/barista/846d5eaa-747b-410d-9652-9329c929d531?utm_referrer=explore
Loop Academy,Guru Robotics dan Coding,"Cisauk, Tangerang, Banten, Indonesia",,,"Pria atau wanita usia maksimal 35 tahun, Berpengalaman mengajar anak-anak, Mempunyai keterampilan dalam bidang robotics dan coding, Berdomisili di BSD dan sekitarnya",https://glints.com/id/opportunities/jobs/guru-robotics-dan-coding/c4004cbd-4608-45bb-80df-e04d40710343?utm_referrer=explore
