Company,Job_title,Location,Salary,Skill,Job_Desc,Links
PT. Artha Kreasi Utama,Sales B2B,"Wonocolo, Surabaya, Jawa Timur, Indonesia","Rp3,6jt","Microsoft Excel, Management, B2b Sales","Mengidentifikasi dan menghubungi prospek potensial di area yang ditugaskan., Mempromosikan dan menjual produk dan layanan perusahaan kepada pelanggan potensial., Membangun dan menjaga hubungan bisnis yang baik dengan pelanggan yang ada., Mencapai target penjualan yang ditetapkan oleh perusahaan., Mengikuti perkembangan pasar dan tren industri terkait., Memberikan layanan pelanggan yang superior dan menjawab pertanyaan atau masalah pelanggan dengan cepat dan efektif., Mengumpulkan dan menyampaikan informasi pasar dan umpan balik pelanggan kepada tim manajemen.",https://glints.com/id/opportunities/jobs/sales-b2b/187c829b-d50f-4d08-bda8-413490a8bdd2?utm_referrer=explore
PT Cilia Prisma Utama Makmur,Marketing Executive  - Banten,"Serang, Serang, Banten, Indonesia","Rp4,5jt-Rp5jt","Penjualan Dan Pemasaran, Sales, Sales Marketing","Posisi ini juga berlaku bagi Marketing Executive, Sales Representative, Business Development Officer dan Account Executive, Membuka pasar dan mencari pelanggan baru di pasar traditional, retail dan pareto, Bertanggung jawab atas mencapai target penjualan dan kunjungan yang telah ditetapkan perusahaan, Menjaga hubungan baik dengan pelanggan, Memastikan proses penjualan berjalan dengan lancar, Bertanggung jawab atas penagihan terhadap pelanggan, Membuat laporan harian, mingguan dan bulanan, Bersedia ditempatkan area Serang dan Tangerang",https://glints.com/id/opportunities/jobs/marketing-executive-banten/fa5ab68b-8796-4244-b6fe-25db9757317f?utm_referrer=explore
PT Inti Nya Teknologi,Teknisi Ritel,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp5jt-Rp6jt,"Good Comunication Skill, Disiplin, Analytical Skills, Teknik Mesin, Membaca gambar teknik","Memperbaiki produk elektronik perusahaan, Memasang produk elektronik perusahaan, Memperbaiki produk elektronik customer yang rusak, Mampu menjelaskan bagaimana cara memperbaiki dan penyebab rusaknya barang elektronik",https://glints.com/id/opportunities/jobs/teknisi-ritel/5a77c8e2-ded6-40d3-848b-5c2c08c29e6e?utm_referrer=explore
Layz Production,[CLOSED] Software Engineer 1,"Samatiga, Kab. Aceh Barat, Nanggroe Aceh Darussalam, Indonesia",Rp5jt-Rp7jt,"JavaScript, Java, Java Programming","Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/closed-software-engineer-1/f49c2596-941f-499c-be56-4e77d2fa6240?utm_referrer=explore
AL-WILDAN ISLAMIC SCHOOL 4 JAKARTA SELATAN,LOWONGAN GURU SD (ENGLISH MATH SCIENCE),"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia",Rp4jt-Rp5jt,"Bahasa Inggris Aktif, Bisa Mengajar, mendidik","Membuat perencanaan pembelajaran, Mengajar English, Math, dan Science level SD, Memberikan aktivitas pelajaran dan penilaian kepada siswa, Membuat laporan nilai dan perkembangan siswa, Mengikuti kegiatan akademik maupun non akademik yang diadakan oleh sekolah, Bertanggung jawab atas pemenuhan pengajaran dan pendidikan yang diberikan kepada siswa",https://glints.com/id/opportunities/jobs/lowongan-guru-sd-english-math-science/4e92428f-c0b2-4b16-ab32-f8c8c509d642?utm_referrer=explore
PT.Midtou Bali,Sopir,"Denpasar Timur, Denpasar, Bali, Indonesia",Rp1jt-Rp2jt,"Disiplin Dan Jujur, Memiliki Kemampuan Komunikasi Yang Baik, Mengemudi Dengan Baik","Mengemudikan kendaraan dengan aman dan bertanggung jawab., Mengantarkan karyawan ke tujuan sesuai dengan rute yang ditentukan., Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin., Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.",https://glints.com/id/opportunities/jobs/sopir/203c2d9c-0fec-405a-96af-d72666f0263a?utm_referrer=explore
Pt Tns Raksasa Indonesia,Content Creator & Host Live Streaming,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp4jt-Rp5jt,"Work Under Pressure, Target Oriented, Host Live, Content Writing, Persuasive Selling, Content Creator, Social Media, Handle Social Media, host live streaming, Siap Bekerja Dengan Target, Good Communication Skills, Content Marketing, Content Strategy","Disediakan mess karyawan (Free)., Tidak perlu memiliki pengalaman kerja (freshgraduate dapat melamar)., Memperoleh bonus komisi (bila target penjualan tercapai)., Lingkungan kerja yang nyaman.",https://glints.com/id/opportunities/jobs/content-creator-and-host-live-streaming/9e64cc56-412d-43be-9077-e2fda275e5fc?utm_referrer=explore
YUMICO,Sopir Pengiriman (DRIVER),"Denpasar Timur, Denpasar, Bali, Indonesia",Rp3jt-Rp3jt,"Memiliki Sim A Dan Sim C, Jujur Dan Pekerja Keras, Driver","Pria & wanita maksimal28 tahun, Pendidikan minimal SMA/SMKSEderajat, Memiliki pengalaman sama dalam bidangnya, Berpenampilan menarik; jujur, mampu bekerja dalam tim, Mampu berkomunikasi dengan baik, Tidak sedang kuliah & Single",https://glints.com/id/opportunities/jobs/sopir-pengiriman-driver/4649b596-10d5-41c0-8bc1-99f117ea2bd5?utm_referrer=explore
Sekolah Budi Luhur (SMP-SMA-SMK) Kota Tangerang,Guru SMK (Desain Komunikasi Visual),"Karang Tengah, Tangerang, Banten, Indonesia","Rp4jt-Rp4,5jt","saya mampu mengoperasikan software design, Memiliki Kemampuan Komunikasi Yang Baik, mampu mengajar","Membuat perencanaan pembelajaran, Memberikan aktivitas pelajaran dan penilaian kepada siswa, Membuat laporan nilai dan perkembangan siswa, Mengikuti kegiatan akademik maupun non akademik yang diadakan oleh sekolah, Bertanggung jawab atas pemenuhan pengajaran dan pendidikan yang diberikan kepada siswa",https://glints.com/id/opportunities/jobs/guru-smk-desain-komunikasi-visual/35da1ef2-3a36-4e77-9d67-2c35b82000a7?utm_referrer=explore
Taplink Indonesia,Sales Canvasing,"Denpasar Utara, Denpasar, Bali, Indonesia","Rp2,5jt-Rp5jt","Microsoft Powerpoint, Microsoft Excel, Presentation Skills","Memasarkan Taplink ke brand/seller yang growing dan terkenal., Bertanggung jawab untuk membangun, memelihara, memperluas hubungan yang erat dan konstruktif dengan merek/penjual terkenal., Memaksimalkan brand/penjual untuk menggunakan semua fitur Taplink dengan semestinya (termasuk fitur berbayar dan lain-lain)., Bekerja sama dengan tim lain untuk mendukung, menyelesaikan, dan mensukseskan merek dalam menggunakan Taplink., Mengumpulkan feedback dan Insight dari market untuk terus meningkatkan konten dan pengalaman pelanggan., Bekerja sama dengan manajer untuk membangun dan menumbuhkan fondasi yang kuat dari divisi Pengembangan Bisnis.",https://glints.com/id/opportunities/jobs/sales-canvasing/bf74f23e-3b7a-4b7c-b993-06c35acf9b43?utm_referrer=explore
Mils Technologies,Livestreamer,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp4jt-Rp5jt,"Rajin Bertanggung Jawab, Berkomunikasi Dengan Baik, Good Selling Skill","Bekerja hanya 4 jam sehari, Mendapatkan Gaji Pokok + Komisi penjualan dari omzet yang dihasilkan",https://glints.com/id/opportunities/jobs/livestreamer/23c977ff-e491-4c6b-b8fa-5de04f62c541?utm_referrer=explore
MR Printing & Packaging,Content Creator,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia","Rp1,5jt-Rp3,5jt","Corel Draw, Content Creator, Graphic Design, Adobe Illustrator, Social Media Strategy, Basic Photo/video Editing, Creative Strategy, Adobe Photoshop","Bertanggung jawab untuk membuat, memproduksi dan mengunggah konten baik berupa graphic design maupun video di social media terutama di Instagram dan Tiktok, Membuat konten plan dan riset konten yang sedang trending, Menganalisa performa konten dan metrics untuk memperbaiki konten, Memperkenalkan produk social media untuk live atau konten, Membuat laporan harian dan mingguan",https://glints.com/id/opportunities/jobs/content-creator/901cf50a-25d9-4f4e-9db8-3ec73811958e?utm_referrer=explore
GreenBox Data Center,Teknisi Handphone,"Cikupa, Kab. Tangerang, Banten, Indonesia",Rp5jt-Rp6jt,"servis hp, Repair Handphone, Soldering skill, Teknisi Handphone, micro soldering iron, Handphone Technician, Motherboard Soldering, Soldering","Melakukan analisis terhadap kerusakan mesin server, Komponen mesin server mirip dengan komponen handphone, Melakukan proses reparasi mesin server yang mengalami kerusakan, Melakukan uji coba terhadap mesin server yang sudah direparasi, Bekerja shifting, Bekerja mobile area site jabodetabek dan sekitarnya",https://glints.com/id/opportunities/jobs/teknisi-handphone/2cf7ab10-2cba-4998-8d0a-b12ea1f82340?utm_referrer=explore
PT Berkah Lancar Abaditama,Sales Promotion Girl,"Taman, Sidoarjo, Jawa Timur, Indonesia","Rp2,8jt-Rp3jt","Public Speaking, Good Communication Skills, Sales Marketing","Menawarkan, mempromosikan, menjual dan memberikan penjelasan mengenai produk yang di jual, Menjawab pertanyaan konsumen dengan baik, Membantu transaksi penjualan produk dengan calon konsumen",https://glints.com/id/opportunities/jobs/sales-promotion-girl/99dabe50-98e1-4e4c-9d92-374ee57bae90?utm_referrer=explore
Activate Asia Group,Sales Promotor Printer,"Makassar, Makassar, Sulawesi Selatan, Indonesia",Rp3jt-Rp7jt,"Penjualan Dan Pemasaran, Marketing, Memiliki Kemampuan Komunikasi Yang Baik, Persuasive Selling, Penjualan, Pemasaran & Promosi, Sales, B2b Sales, Strategi Penjualan","Laki-Laki / Perempuan, max 35 tahun, Pendidikan terakhir minimal SMA/SMK/ Sederajat, Memiliki pengalaman kerja sebagai Sales Promotor (produk Handphone / Gadget), Memiliki pengetahuan dasar seputar printer & percetakan, Dapat bergabung secepatnya, Berdomisili di kota kebutuhan (Makassar)",https://glints.com/id/opportunities/jobs/sales-promotor-printer/8e4aa538-f462-408b-83a2-fb47c8ca1fae?utm_referrer=explore
