Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Link
Livestreamer,PT NATURAL BEAUTY INDONESIA,"Tangerang, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Content Management Systems (CMS),N/A,https://glints.com/id/opportunities/jobs/livestreamer/b30b2543-0e08-42dd-bb5f-83678ed7551d?utm_referrer=explore
Live Talent,PT. Sahabat Maju Jaya,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Leadership,N/A,https://glints.com/id/opportunities/jobs/live-talent/90639b97-db8a-486c-bf7c-021a8fc79378?utm_referrer=explore
Sales Provider Wifi (JABODETABEK),PT Danamas Insan Kreasi Andalan (Bandung),"Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,disiplin dan bertanggung jawab,N/A,https://glints.com/id/opportunities/jobs/sales-provider-wifi-jabodetabek/50431073-2587-4feb-8423-c214cac3adf5?utm_referrer=explore
Design Creative,PT. Sahabat Maju Jaya,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),Kurang dari setahun,Marketing,N/A,https://glints.com/id/opportunities/jobs/design-creative/4281d5e5-dc0d-42f6-b79e-7e1f5504fc39?utm_referrer=explore
Kasir,PT. Fast Medika Utama,"Kibin, Serang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Berkomunikasi Dengan Baik,N/A,https://glints.com/id/opportunities/jobs/kasir/ca8b26a7-4b0c-41ef-a35e-c8d88aa4514f?utm_referrer=explore
Bartender,Tempura High Kota Wisata Cibubur,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,N/A,Packing,N/A,https://glints.com/id/opportunities/jobs/bartender/61f7d81b-f80b-4574-b665-8fb4ada38d7b?utm_referrer=explore
Waiters,Tempura High Kota Wisata Cibubur,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Pelayan / Pramuniaga / Waiter / Server,Rp100rb-Rp2jt,https://glints.com/id/opportunities/jobs/waiters/9c3ad43a-3fce-4a6b-aa43-11cf05aedb7d?utm_referrer=explore
Kasir,Tempura High Kota Wisata Cibubur,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Cashier,"Rp2,7jt-Rp5jt",https://glints.com/id/opportunities/jobs/kasir/9943e1da-f10d-4dea-a707-c9b9dfdb8f4e?utm_referrer=explore
Cook Staff,Tempura High Kota Wisata Cibubur,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Kasir,"Rp4jt-Rp4,5jt",https://glints.com/id/opportunities/jobs/cook-staff/b1a2fe20-81bf-4b60-bc7e-5e1fdcf19e24?utm_referrer=explore
Chef De Partie (CDP),Tempura High Kota Wisata Cibubur,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Cooking,"Rp2,7jt-Rp5jt",https://glints.com/id/opportunities/jobs/chef-de-partie-cdp/0a0afa1a-77c6-40ee-a8cf-5d7e25a22d90?utm_referrer=explore
Data Analyst,Bert's,"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal Diploma (D1 - D4),Kurang dari setahun,Assistant Cook,"Rp2,7jt-Rp5jt",https://glints.com/id/opportunities/jobs/data-analyst/b4eefc41-e8bd-48bd-9654-3265aae8c8f9?utm_referrer=explore
