id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
kt52,STAFF FRONT OFFICE,PT BPR Karyajatnika Sadaya,Tidak ditampilkan,"Kota Bandung, Jawa Barat",Full Time,Kerja di kantor,Rp 5.550.000,Tidak ada ketentuan,Administration,S1,,https://kerja.kitalulus.com/id/lowongan/detail/staff-frontback-office-penempatan-jawa-barat-9kii,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F8e657a01-dc1a-4387-ed26-3fd944c51a00%2Fthumbnail&w=96&q=75;
kt53,Guru Bimbel SD/SMP wilayah greenlake / cipondoh / poris,Bimbel Matica,Tidak ditampilkan,"Kota Tangerang, Banten",Freelance,Kerja di kantor,Tidak ditampilkan,Tidak ada ketentuan,Communicating in English,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/guru-bimbel-sdsmp-wilayah-greenlake-cipondoh-l3mh,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F3222bafa-1a52-4fc2-4000-7d671ecc4600%2Fthumbnail&w=96&q=75;
kt54,907 - CREDIT MARKETING OFFICER MOBIL & DANA TUNAI MOBIL - DEPOK,PT Mega Central Finance,Tidak ditampilkan,"Kota Depok, Jawa Barat",Full Time,Kerja di lapangan,Tidak ditampilkan,Minimal 1 Tahun,"Sales Target, Keterampilan Komunikasi, Komunikasi Efektif, Persuasive Communication Skills",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/credit-marketing-officer-mobil-dana-tunai-mobil-iu5p,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F69b414f9-16e1-4d59-b107-3aac0e47cb00%2Fthumbnail&w=96&q=75;
kt55,sales,PT. SiBalec,Tidak ditampilkan,"Kota Makassar, Sulawesi Selatan",Full Time,Kerja di lapangan,Rp 5.000.000,Minimal 1 Tahun,3D Editing,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/sales-djjo,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fe8631e9a-6321-444b-fd59-ea5c3018d300%2Fthumbnail&w=96&q=75;
kt56,Kepala Keuangan (Pamanukan),PT Tirta Utama Abadi,Tidak ditampilkan,"Kabupaten Subang, Jawa Barat",Kontrak,Kerja di kantor,Rp 4.000.000,Tidak ada ketentuan,"Microsoft Excel, accounting, Account Analysis",S1,,https://kerja.kitalulus.com/id/lowongan/detail/kepala-keuangan-pamanukan-2xq8,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fd184486f-7edf-462b-c4c7-de8e01f37b00%2Fthumbnail&w=96&q=75;
kt57,SPG Philip Bitung Tangerang,PT Duta Generasi Mandiri,Tidak ditampilkan,"Kabupaten Tangerang, Banten",Full Time,Kerja di kantor,Rp 5.500.000,Minimal 2 Tahun,"Selling Skills, Active Communication",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/spg-philip-bitung-tangerang-jn3o,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F78f01ee8-4ca4-40fc-afdd-dc4992e26800%2Fthumbnail&w=96&q=75;
kt58,"IT SUPPORT, SECURITY NETWORK, WEBSITE PROGRAMMER",Canon Medicinae Indonesia (CMI Hospital),Tidak ditampilkan,"Kota Bandung, Jawa Barat",Full Time,Kerja di kantor,Rp 3.000.000,Tidak ada ketentuan,"Adaptability to Technology, AI Technology, Computer, Application Development",S1,,https://kerja.kitalulus.com/id/lowongan/detail/it-programmer-undf,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fc1b52259-8619-4757-e573-459660644700%2Fthumbnail&w=96&q=75;
kt59,Sales Marketing Langsa,PT Indonesia Bakery Family,Tidak ditampilkan,"Kota Langsa, Aceh",Full Time,Kerja di lapangan,Rp 3.000.000,Minimal 1 Tahun,Adaptability to changing trends,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/sales-marketing-langsa-wkux,/icons/ic-company.svg;
kt60,Field Collection (Salatiga),PT Summit OTO Finance,Tidak ditampilkan,"Kota Salatiga, Jawa Tengah",Full Time,Kerja di lapangan,Rp 2.200.000,Tidak ada ketentuan,"Keterampilan Komunikasi, Customer Targeting",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/field-collection-salatiga-dqfs,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F4596e3e4-61ca-4cea-7339-24c089490a00%2Fthumbnail&w=96&q=75;
kt61,Marketing Support,Kumala Group,Tidak ditampilkan,"Kota Ternate, Maluku Utara",Full Time,Kerja di kantor,Tidak ditampilkan,Minimal 1 Tahun,"3D Design, 3D Graphic Design",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/marketing-support-q7do,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fda771407-fffa-49ea-2dc8-4061fc2b7e00%2Fthumbnail&w=96&q=75;
