Company,Job_title,Location,Salary,Work Type,Skills,Descriptions,Links
PT Quickprint Indonesia,Graphic Designer,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/graphic-designer/6da4d89d-26a1-4d47-bdd2-db5c3412e866?utm_referrer=explore
Partipost Indonesia,Marketing Internship,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Magang,,,https://glints.com/id/opportunities/jobs/marketing-internship/09b915c0-618a-4b1d-a3eb-494215d2f901?utm_referrer=explore
PT. Kusuma Sampurna Mulia (Kusuma Beauty Clinic),IT Developer,"Tangerang, Tangerang, Banten, Indonesia","Rp5,5jt-Rp6,5jt",Penuh Waktu,,"Mengelola Database, Mengelola Teknologi Server, Melakukan integrasi cloud computing, Membangun software server side, Mengatur bahasa pemrograman server side, Melakukan integrasi Application Programing Interface (API), Mengelola dan Mengembangkan Content Management System (CMS), Mengatu dan Menjamin Keamanan WEB, Membuat laporan analisis dan statistik server, Menerjemahkan design menjadi tampilanyang dapat diakses orang awam (penguna), Berpengalaman Build Website, Menguasai berbagai bahasa pemrograman (PHP, CSS, HTML, JAVA), Menguasai teknologi front end (UI UX), Troubleshoot, debug and upgrade software., Good communication, Excellent problem-solving skills, Have experience in IT Company especially in HRIS is a Plus",https://glints.com/id/opportunities/jobs/it-developer/a6ec77c7-6f84-4e77-b8e6-d8b5b50f09c2?utm_referrer=explore
PT. Meteor Inovasi Digital,Golang Developer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pengalaman min, 2 thn menggunakan Bahasa pemrograman Golang, S1 Teknik Informatika/System Informasi diutamakan, jurusan lain dipersilahkan, Project Base sampai dengan 31 Desember 2023, Bersedia bekerja Full WFO di Jakarta selatan",https://glints.com/id/opportunities/jobs/golang-developer/721b03ab-95d4-4feb-897f-2ef3743ad73b?utm_referrer=explore
PunyaLink,Marketing Manager,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pengalaman magang minimal 3 bulan sebagai Content-Social Media Spesialist/Business Development, Active in IG & Tiktok. (Linkedin is plus), Usia 20-30 tahun, Ambitious and target oriented, Menyukai kegiatan Sales/Marketing/Bisnis,, Hybrid work in West Jakarta, Gender - Female!",https://glints.com/id/opportunities/jobs/marketing-manager/8304ca7b-0cc4-4eb0-9bf3-e50f26ed164e?utm_referrer=explore
PT Lamonte Mode Internasional,BUSINESS DEVELOPMENT,"Pancoran Mas, Depok, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Marketing Communications, Negotiation Skill, Marketing Strategy, Good Communication Skills, Presentation Skills",,https://glints.com/id/opportunities/jobs/business-development/86fb8e36-2c08-4c09-9bad-9e4c568aef02?utm_referrer=explore
PT Niramas Utama (INACO),Staff Legal,"Tambun Selatan, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Melakukan legal service dan legal opinions, Handling OSS, Bertanggung jawab legal compliance, Pengarsipan dokumen (perjanjian, izin dan lain-lain) dan controlling dokumen legal, Merancang dan rivew perjanjian internasional",https://glints.com/id/opportunities/jobs/staff-legal/4df93242-54a1-49bf-8b9d-6e5719a5857c?utm_referrer=explore
OXYMED CLINIC,Business Development Representative,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp4jt-Rp6jt,Penuh Waktu,,"Melakukan kunjungan setiap hari kepada Client, Membuat penawaran kepada Client

Kualifikasi:, D3/S1 background (diutamakan perawat/Analis Kesehatan), Berminat di bagian Marketing/Sales, Memiliki relasi baik dengan dokter umum/Spesialis, Bersedia bekerja dengan target, Mampu mengoperasikan microsoft office",https://glints.com/id/opportunities/jobs/business-development-representative/2fe92442-515f-4d4b-af1d-43b0555fbfc1?utm_referrer=explore
Demar Hijab,Social Media Specialist,"Gedebage, Bandung, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Mempunyai keterampilan dalam mengkurasi konten dan branding yang baik sesuai visi brand di seluruh channel online, Mengelola akun media sosial brand dan meningkatkan reach & impressions akun media sosial, Meningkatkan Engagement Rate, Clickthrough rate , Conversion rate dari hasil branding di channel online, Mengembangkan dan menerapkan strategi media sosial untuk meningkatkan brand awareness, engagement, dan menjangkau audiens baru, Tingkatkan engagement dengan customer dan partner brand di sosial media dengan memonitor dan merespons pesan, komentar, dan konten, Kelola content plan dan melakukan schedule post konten, Bertanggung jawab atas semua desain yang diperlukan untuk media sosial dan tujuan pemasaran, Mengikuti, meneliti dan menganalisa tren media sosial terbaru, Membuat laporan dan analisis tentang kinerja media sosial, tren yang sedang terjadi, serta memberikan rekomendasi untuk perbaikan, Mempunyai portofolio manajemen campaign social media ads menjadi nilai tambah",https://glints.com/id/opportunities/jobs/social-media-specialist/93018eb2-23ae-4b02-9237-97acd6587a42?utm_referrer=explore
PT. Java Vapor Indonesia,Marketing Area Bali,"Denpasar Utara, Denpasar, Bali, Indonesia","Rp3,5jt-Rp4jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/marketing-area-bali/00cdc11d-027b-4791-bf87-2ddfcea83d1b?utm_referrer=explore
PT. Asuransi Cakrawala Proteksi Indonesia,Claim Staff,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/claim-staff/6a33d10b-8ffa-4eee-99cf-dc099593e671?utm_referrer=explore
PT. Asuransi Cakrawala Proteksi Indonesia,Claim Staff,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Analytical Skills, Good Communication Skills, General Insurance, Administration",,https://glints.com/id/opportunities/jobs/claim-staff/6a33d10b-8ffa-4eee-99cf-dc099593e671?utm_referrer=explore
